state_a,state_b,median_diff,U_statistic,p_value,p_value_bh,significant_bh
Chandigarh,Nagaland,-0.06129149859918705,1138640.5,0.0,0.0,True
Karnataka,Ladakh,0.061161602286338095,1729822.0,1.160971913154461e-170,2.4133589375809266e-170,True
Karnataka,Puducherry,0.061161602286338095,3689867.0,8.86351019010461e-178,1.894709870597261e-177,True
Mizoram,Tamil Nadu,0.06064990196487445,2027615.0,0.3863346887160689,0.39763102464343936,False
Odisha,Rajasthan,-0.06023809523809528,336888.0,0.0,0.0,True
Arunachal Pradesh,Jammu and Kashmir,-0.06002046371551574,1825237.0,6.480443892617497e-206,1.5140152103106365e-205,True
Sikkim,Uttarakhand,-0.059824318076745236,368649.5,0.0,0.0,True
Madhya Pradesh,Sikkim,0.05974357165514459,9660061.0,0.0,0.0,True
Haryana,Jammu and Kashmir,-0.05933282403870639,4055763.0,4.9746352072485144e-281,1.5634567794209618e-280,True
Andaman and Nicobar Islands,Jammu and Kashmir,-0.05933282403870639,2355799.5,1.3510936969872417e-269,4.0532810909617256e-269,True
Sikkim,West Bengal,-0.05898246936355532,450924.5,0.0,0.0,True
Punjab,Tamil Nadu,0.05887422783980285,5090382.0,0.0006994011949646616,0.0007807269153093896,True
Assam,Puducherry,0.058769037159603195,1863690.5,5.829299773883775e-145,1.0837571410600823e-144,True
Assam,Ladakh,0.058769037159603195,908968.0,9.607773433865746e-185,2.113710155450464e-184,True
Chhattisgarh,Sikkim,0.058320558678249076,8724731.0,0.0,0.0,True
Andhra Pradesh,Ladakh,0.057692307692307696,2087859.5,1.7015132551867694e-190,3.9060826032113666e-190,True
Andhra Pradesh,Puducherry,0.057692307692307696,4326037.5,2.0350564586334405e-175,4.280915578320544e-175,True
Jammu and Kashmir,Kerala,0.05756915560837119,8997587.0,3.1537631622311783e-274,9.681319474756176e-274,True
Tamil Nadu,Uttarakhand,-0.05720756117313615,3786097.0,0.0015956347449089996,0.0017699477842688064,True
Madhya Pradesh,Tamil Nadu,0.0571268147515355,5201818.0,0.0004958115037715436,0.0005581843795125266,True
Nagaland,Telangana,0.057120149478976714,9699967.0,0.0,0.0,True
Odisha,Uttar Pradesh,-0.05678028385896556,104813.0,0.0,0.0,True
Tamil Nadu,West Bengal,-0.05636571245994623,4268748.5,0.002703866466272134,0.0029804624095859846,True
Manipur,Odisha,0.05590909090909096,2030517.0,1.4383644600637383e-237,3.778390223451014e-237,True
Chhattisgarh,Tamil Nadu,0.05570380177463999,4923818.5,0.011133047603899944,0.012095162828928335,True
Himachal Pradesh,Sikkim,0.055576000948846974,7057544.5,0.0,0.0,True
Maharashtra,Odisha,0.055342679127725926,11360856.5,0.0,0.0,True
Dadra and Nagar Haveli and Daman and Diu,Rajasthan,-0.05486017589689887,512461.5,0.0,0.0,True
Bihar,Ladakh,0.05437337127691883,1590388.0,3.2134819286128927e-159,6.307503562481811e-159,True
Bihar,Puducherry,0.05437337127691883,3291002.5,6.912306472079882e-135,1.237185700765484e-134,True
Mizoram,Odisha,0.05415662650602406,4292518.0,0.0,0.0,True
Meghalaya,Rajasthan,-0.0539488976377899,548138.5,0.0,0.0,True
Rajasthan,Tripura,0.05298457411133467,6310890.0,0.0,0.0,True
Himachal Pradesh,Tamil Nadu,0.052959244045237885,4253301.5,0.014669310167331561,0.015871712640063658,True
Bihar,Jammu and Kashmir,-0.052578500380835176,3109672.0,6.240907450659571e-278,1.9383524317342668e-277,True
Odisha,Punjab,-0.052380952380952465,870140.5,0.0,0.0,True
Dadra and Nagar Haveli and Daman and Diu,Uttar Pradesh,-0.05140236451776915,324811.5,0.0,0.0,True
Odisha,Uttarakhand,-0.05071428571428576,594453.5,0.0,0.0,True
Madhya Pradesh,Odisha,0.05063353929268511,11236716.5,0.0,0.0,True
Dadra and Nagar Haveli and Daman and Diu,Manipur,-0.05053117156789455,226258.5,2.6478921196137592e-132,4.69156724549015e-132,True
Meghalaya,Uttar Pradesh,-0.05049108625866018,211420.5,0.0,0.0,True
