state_a,state_b,median_diff,U_statistic,p_value,p_value_bh,significant_bh
Tamil Nadu,Uttar Pradesh,-0.004305699694867479,8084699.5,2.4626144541495118e-08,2.6984449359465185e-08,True
Dadra and Nagar Haveli and Daman and Diu,Nagaland,0.00408607568309835,2072012.5,9.225926255194608e-07,9.962660838186554e-07,True
Chhattisgarh,Uttar Pradesh,-0.004075044957812121,7341322.5,1.8212877937281008e-23,2.1586976838012352e-23,True
Dadra and Nagar Haveli and Daman and Diu,West Bengal,0.0038876860071622166,3249044.0,2.4382441393125565e-07,2.647363618414181e-07,True
Chhattisgarh,Mizoram,0.003810975609756101,4578610.5,0.4910625826390578,0.4935510754564854,False
Puducherry,Uttar Pradesh,0.003627137327168614,7731625.5,2.152145249609707e-12,2.4252394384806355e-12,True
Mizoram,Tamil Nadu,-0.003580320872700743,4325016.5,4.386988232570015e-07,4.745923633416652e-07,True
Haryana,Uttarakhand,-0.003474903474903479,6878939.5,1.097723185121034e-42,1.4137344050801195e-42,True
Andaman and Nicobar Islands,Assam,-0.003436431662946618,5543093.0,4.326493029497202e-06,4.655087436800786e-06,True
Haryana,Karnataka,-0.003336809176225239,6870024.5,1.0010160647623188e-23,1.1935963096865324e-23,True
Mizoram,Rajasthan,0.003280182217541533,4900128.0,1.1636232933817013e-13,1.3162658927036355e-13,True
Rajasthan,Tripura,0.0032214956348074614,6659163.0,2.501868017120196e-06,2.6967599097581825e-06,True
Dadra and Nagar Haveli and Daman and Diu,Haryana,0.0028568318368235035,3201204.0,2.522617903769108e-08,2.759113332247462e-08,True
Nagaland,Tripura,-0.0027632802796401373,4614674.0,0.001380084866166005,0.0014585266347580338,True
Tripura,West Bengal,0.0025648906037040037,7987170.0,0.00010656429926007734,0.0001136303907880753,True
Jharkhand,Mizoram,0.0022284269041860233,4313621.0,2.0298087789333026e-11,2.2701808711754043e-11,True
Tripura,Uttarakhand,-0.0019408670415381885,6271379.5,1.152424952069509e-08,1.2674544297252456e-08,True
Chhattisgarh,Manipur,0.0019088016967126198,3032216.5,0.05043200732971946,0.051647236422001856,False
Meghalaya,Uttar Pradesh,0.0019065144576457388,7829354.5,0.0001785222794620835,0.0001900192420034699,True
Manipur,Mizoram,0.0019021739130434812,1668970.5,0.05380688961998578,0.05500876172489955,False
Dadra and Nagar Haveli and Daman and Diu,Rajasthan,-0.0018987002313492485,2937363.0,0.0017114920716605913,0.001805563444393709,True
Karnataka,Tripura,0.0018027727428599483,6700816.0,0.0024157080765019635,0.002539481105156658,True
Meghalaya,Puducherry,-0.0017206228695228754,6203455.0,1.4368398062667396e-05,1.5376253322458814e-05,True
Manipur,Tamil Nadu,-0.0016781469596572618,3107395.5,0.01382747651859924,0.014283591195428035,True
