state_a,state_b,median_diff,U_statistic,p_value,p_value_bh,significant_bh
Arunachal Pradesh,Mizoram,0.30138888888888893,4735211.5,0.0,0.0,True
Assam,Rajasthan,0.3005190621084661,13834285.5,0.0,0.0,True
Kerala,Mizoram,0.3004568931910928,7715362.0,0.0,0.0,True
Arunachal Pradesh,Bihar,0.29529044236961965,7900717.5,0.0,0.0,True
Dadra and Nagar Haveli and Daman and Diu,Karnataka,-0.2952375855318492,257073.0,0.0,0.0,True
Bihar,Kerala,-0.29435844667182354,732681.5,0.0,0.0,True
Assam,Chandigarh,0.2927927927927928,13303233.5,0.0,0.0,True
Andhra Pradesh,Ladakh,0.2889958479638185,2344400.0,0.0,0.0,True
Himachal Pradesh,Karnataka,-0.2849893096697802,736295.5,0.0,0.0,True
Assam,Mizoram,0.28168168168168173,8389926.0,0.0,0.0,True
Arunachal Pradesh,Jharkhand,0.2791666666666667,7205010.0,0.0,0.0,True
Goa,Manipur,0.2783478486944687,3205024.5,0.0,0.0,True
Jharkhand,Kerala,-0.27823467096887056,356162.5,0.0,0.0,True
Delhi,Karnataka,-0.277326474420738,1091690.0,0.0,0.0,True
Assam,Bihar,0.27558323516241245,13542044.0,0.0,0.0,True
Arunachal Pradesh,Maharashtra,0.27553854415415624,8263287.0,0.0,0.0,True
Kerala,Maharashtra,0.2746065484563601,13807749.5,0.0,0.0,True
Karnataka,Odisha,0.2653161982486122,14818106.0,0.0,0.0,True
Arunachal Pradesh,Madhya Pradesh,0.261474358974359,8266158.0,0.0,0.0,True
Andaman and Nicobar Islands,Karnataka,-0.26098099015622095,1737078.5,0.0,0.0,True
Kerala,Madhya Pradesh,0.2605423632765629,13848759.5,0.0,0.0,True
Assam,Jharkhand,0.2594594594594595,12577320.0,0.0,0.0,True
Jammu and Kashmir,Karnataka,-0.25940532746733314,1166959.0,0.0,0.0,True
Karnataka,Tamil Nadu,0.2590188164372362,14717913.5,0.0,0.0,True
Arunachal Pradesh,West Bengal,0.25882354685948106,7662589.5,0.0,0.0,True
Kerala,West Bengal,0.25789155116168494,12910465.5,0.0,0.0,True
Assam,Maharashtra,0.25583133694694904,14666616.0,0.0,0.0,True
Arunachal Pradesh,Gujarat,0.25563725490196076,7258810.5,0.0,0.0,True
Gujarat,Kerala,-0.25470525920416465,2339346.5,0.0,0.0,True
Karnataka,Meghalaya,0.25093758553184914,11234182.5,0.0,0.0,True
Karnataka,Uttarakhand,0.2491970792027353,12861663.5,0.0,0.0,True
Arunachal Pradesh,Chhattisgarh,0.24782338308457716,7261051.0,0.0,0.0,True
Chhattisgarh,Kerala,-0.24689138738678104,2210118.5,0.0,0.0,True
Karnataka,Punjab,0.24623807269724743,13675467.5,0.0,0.0,True
Karnataka,Uttar Pradesh,0.24567896484219395,11701105.5,0.0,0.0,True
Haryana,Karnataka,-0.2455804426747063,1579282.0,0.0,0.0,True
Assam,Madhya Pradesh,0.2417671517671518,14772543.5,0.0,0.0,True
Ladakh,Manipur,-0.24149342114680117,38419.0,4.222905263981499e-211,6.664797432543745e-211,True
Assam,West Bengal,0.23911633965227386,13244826.0,0.0,0.0,True
Andhra Pradesh,Puducherry,0.23899584796381848,14930145.5,0.0,0.0,True
Arunachal Pradesh,Telangana,0.23754975822502647,7721486.0,0.0,0.0,True
Karnataka,Tripura,0.23692243401669763,10214344.5,0.0,0.0,True
Kerala,Telangana,0.23661776252723035,12859074.0,0.0,0.0,True
Assam,Gujarat,0.2359300476947536,13008337.5,0.0,0.0,True
Andhra Pradesh,Dadra and Nagar Haveli and Daman and Diu,0.23151013367810425,5778461.5,0.0,0.0,True
Andhra Pradesh,Goa,-0.23084542187745138,2268130.5,0.0,0.0,True
Karnataka,Rajasthan,0.22949718818085574,12517828.5,0.0,0.0,True
Arunachal Pradesh,Nagaland,0.22916666666666669,4666708.5,1.144807230390011e-245,1.9133716350619567e-245,True
Arunachal Pradesh,Sikkim,0.22916666666666669,4079763.5,1.239710894499779e-199,1.9360314494156655e-199,True
Kerala,Nagaland,0.22823467096887057,7803202.5,0.0,0.0,True
Kerala,Sikkim,0.22823467096887057,6660665.0,0.0,0.0,True
Assam,Chhattisgarh,0.22811617587736996,12816186.0,0.0,0.0,True
Chandigarh,Karnataka,-0.2217709188651825,2347556.0,0.0,0.0,True
Andhra Pradesh,Himachal Pradesh,0.22126185781603525,18439282.0,0.0,0.0,True
Assam,Telangana,0.21784255101781927,14278809.5,0.0,0.0,True
Ladakh,Sikkim,-0.2142857142857143,22039.0,4.935801774554451e-277,8.819225392972667e-277,True
Ladakh,Nagaland,-0.2142857142857143,1317.0,1.7622585210948657e-299,3.3077092115187545e-299,True
Andhra Pradesh,Delhi,0.21359902256699304,18467907.0,0.0,0.0,True
Karnataka,Mizoram,0.21065980775407137,7456496.0,0.0,0.0,True
Assam,Sikkim,0.20945945945945948,7124827.0,4.6623217102589354e-191,7.224170358343923e-191,True
Assam,Nagaland,0.20945945945945948,8678210.0,0.0,0.0,True
Ladakh,Telangana,-0.2059026227273545,18123.0,1.2101847870835108e-305,2.337856975047691e-305,True
Bihar,Karnataka,-0.20456136123480212,2934173.5,0.0,0.0,True
